,0
1001988101,3
1001988610,0
1001990293,4
1001990350,0
1001991789,3
1001993054,0
1001993772,4
1001998182,0
1001998599,2
1002000351,0
1002000531,0
1002000690,3
1002003403,4
1002004298,4
1002007028,4
1002021186,1
1002024189,0
1002024740,3
1002025522,1
1002028480,3
1002029249,4
1002032021,0
1002037372,4
1002042372,3
1002042636,4
1002045192,4
1002045380,1
1002054072,3
1002055734,4
1002057146,3
1002057307,4
1002059165,1
1002059444,1
1002060709,0
1002062739,0
1002064447,0
1002066429,4
1002067077,1
1002068052,3
1002072502,0
1002074126,4
1002076678,1
1002079612,3
1002080611,4
1002084477,0
1002086201,0
1002088621,1
1002092805,0
1002093518,0
1002096343,4
1002096673,0
1002100161,0
1002106632,0
1002106915,3
1002109131,4
1002112308,0
1002113501,0
1002117692,0
1002119269,2
1002123620,3
1002127847,4
1002133999,0
1002135471,0
1002137580,0
1002139750,0
1002150114,0
1002161526,1
1002168525,1
1002178430,4
1002178862,0
1002180309,0
1002183830,0
1002188479,0
1002188605,1
1002199844,0
1002200174,0
1002209114,0
1002217389,0
1002232566,0
1002235934,1
1002239728,3
1002240342,4
1002241912,3
1002256614,0
1002261390,3
1002269343,3
1002271545,3
1002272253,1
1002275065,0
1002280059,0
1002284477,0
1002293687,0
1002296695,0
1002298252,4
1002306355,3
1002311797,2
1002319167,0
1002321578,3
1002322721,0
1002331369,3
1002358179,0
1002363395,4
1002379445,0
1002395279,3
1002409157,4
1002412651,4
1002426037,0
1002426863,0
1002428125,0
1002428507,0
1002439303,3
1002444416,0
1002448900,0
1002449045,0
1002454379,3
1002456726,3
1002457473,0
1002461581,0
1002462903,4
1002470317,3
1002471236,4
1002478810,3
1002479396,4
1002487629,0
1002488405,2
1002488801,3
1002498955,4
1002500459,3
1002500589,4
1002510737,0
1002519191,4
1002526858,0
1002531202,0
1002538378,0
1002545904,3
1002557706,0
1002564409,4
1002569877,0
1002570715,0
1002573780,0
1002582214,0
1002607830,0
1002607994,1
1002624328,4
1002624931,0
1002630644,3
1002638070,0
1002643814,3
1002646218,3
1002647032,4
1002650980,3
1002658519,0
1002659874,0
1002668127,3
1002673644,1
1002684388,0
1002696981,0
1002697619,0
1002707638,0
1002713096,4
1002725439,0
1002729552,0
1002732028,0
1002739484,3
1002741293,0
1002745113,2
1002745282,4
1002749303,3
1002749891,0
1002751932,1
1002753697,0
1002760520,3
1002761161,0
1002764841,3
1002773582,0
1002777287,0
1002778752,3
1002784813,0
1002790291,3
1002795869,0
1002806095,0
1002809687,4
1002810188,0
1002816717,4
1002818598,1
1002822643,4
1002824119,0
1002828726,0
1002837161,0
1002838360,0
1002845409,1
1002849879,4
1002850649,0
1002852204,3
1002853387,0
1002855437,3
1002856283,0
1002859957,4
1002869211,2
1002870864,1
1002872456,0
1002874980,2
1002875663,4
1002876431,3
1002876966,0
1002889063,3
1002890137,4
1002891346,3
1002897559,3
1002897777,0
1002898922,3
1002900568,4
1002911210,4
1002911937,0
1002923847,1
1002929598,0
1002929672,3
1002930231,3
1002930684,0
1002931049,4
1002932368,0
1002937753,4
1002939423,3
1002942611,4
1002943135,4
1002944853,2
1002952859,4
1002954389,0
1002977936,0
1002979243,3
1002981141,0
1002984447,1
1002992980,0
1002993063,4
1002998093,1
1003008206,2
1003031533,1
1003043305,4
1003046691,0
1003049435,3
1003057458,3
1003065289,0
1003090226,0
1003098816,1
1003106798,0
1003110752,0
1003113311,4
1003134599,4
1003136136,0
1003143855,4
1003144662,3
1003146119,1
1003147382,0
1003149212,3
1003152860,3
1003154834,3
1003156539,4
1003157039,4
1003157941,3
1003161660,4
1003166780,0
1003192085,0
1003194478,1
1003198694,1
1003205352,0
1003205842,3
1003206609,0
1003211469,4
1003216183,0
1003223104,2
1003227383,4
1003240883,2
1003246289,1
1003247124,4
1003247778,0
1003249148,4
1003252687,0
1003253695,0
1003255809,4
1003258563,1
1003262910,3
1003264116,0
1003265447,4
1003266039,0
1003267686,1
1003271420,1
1003277412,3
1003281533,1
1003281961,0
1003285547,2
1003292496,0
1003295972,1
1003298384,1
1003305299,0
1003305421,3
1003308587,1
1003310122,0
1003311833,4
1003315562,3
1003316723,4
1003317351,4
1003318000,0
1003333731,1
1003333759,0
1003338194,0
1003342481,4
1003344032,0
1003348605,0
1003349296,3
1003349513,3
1003359224,0
1003361755,3
1003366210,3
1003367315,4
1003368309,1
1003369115,3
1003374334,2
1003384366,1
1003385694,0
1003390924,1
1003391548,0
1003392493,1
1003408271,2
1003409712,3
1003410471,0
1003414346,1
1003419506,3
1003426554,4
1003429397,4
1003429626,0
1003431333,4
1003433508,4
1003435899,0
1003436019,0
1003440061,0
1003451216,3
1003456795,0
1003474729,1
1003479409,0
1003489747,3
1003495344,2
1003496116,4
1003496205,3
1003501419,1
1003530052,0
1003530780,0
1003545882,0
1003548459,1
1003550957,3
1003554629,0
1003554827,0
1003557986,3
1003563022,0
1003570796,0
1003576742,3
1003585910,1
1003590734,0
1003605867,4
1003617044,4
1003625974,0
1003635948,4
1003643183,0
1003667640,4
1003677853,3
1003678154,4
1003683494,3
1003691009,0
1003701437,0
1003718387,4
1003720870,1
1003726274,4
1003738029,4
1003748745,3
1003776373,3
1003780009,0
1003788458,0
1003792023,4
1003808482,3
1003810823,0
1003812124,1
1003818967,1
1003821683,4
1003828920,3
1003836370,1
1003840387,0
1003856101,4
1003863353,2
1003867356,3
1003867629,4
1003880863,0
1003894539,0
1003899634,3
1003900854,4
1003901894,0
1003909374,4
1003911483,0
1003918497,3
1003920042,4
1003928655,4
1003942686,4
1003954537,4
1003960952,3
1003968610,3
1003985249,0
1003985881,4
1003993885,3
1004004166,3
1004011985,4
1004012893,0
1004029517,0
1004057539,0
1004063604,3
1004076491,3
1004076889,3
1004114778,4
1004118980,2
1004122565,3
1004128457,0
1004184889,1
1004199247,4
1004200487,0
1004224661,4
1004225306,4
1004226207,0
1004257639,0
1004267445,1
1004270351,1
1004270699,3
1004271208,3
1004272557,1
1004273837,3
1004286534,4
1004299536,4
1004300961,0
1004308318,0
1004323389,0
1004330609,2
1004331718,0
1004355926,3
1004369148,0
1004372667,4
1004404397,0
1004407610,0
1004420271,1
1004426154,0
1004428774,3
1004458645,0
1004465539,4
1004472552,3
1004475353,3
1004480935,4
1004489978,4
1004495599,1
1004500442,3
1004503823,0
1004510997,3
1004513885,1
1004523549,2
1004527805,3
1004530201,2
1004533351,0
1004593262,0
1004614618,0
1004627431,2
1004629846,1
1004641333,1
1004644054,4
1004648462,4
1004652340,0
1004678373,0
1004692554,0
1004711201,0
1004713567,2
1004719739,4
1004724061,4
1004736572,0
1004736741,4
1004736905,0
1004737881,0
1004740890,1
1004744519,1
1004751998,3
1004756525,3
1004767930,4
1004779799,3
1004784813,0
1004792210,0
1004794393,3
1004795650,3
1004797918,3
1004802781,3
1004814899,3
1004820616,3
1004846186,1
1004847304,0
1004864824,1
1004869055,0
1004883886,0
1004889731,0
1004894326,3
1004895975,3
1004904795,4
1004930528,0
1004937166,0
1004942444,3
1004948874,2
1004949543,4
1004975174,0
1005003946,1
1005004936,3
1005031334,4
1005048782,0
1005054076,0
1005057803,0
1005076168,3
1005076352,0
1005083572,3
1005086437,0
1005089552,3
1005094249,0
1005097082,4
1005101950,4
1005129152,2
1005144580,1
1005161063,0
1005197934,4
1005230250,0
1005282343,0
1005338559,3
1005389711,3
1005395278,3
1005419962,3
1005424835,1
1005426548,1
1005435423,0
1005469189,0
1005477358,0
1005504577,0
1005546912,4
1005559224,4
1005571126,3
1005578157,0
1005645731,4
1005661390,0
1005675852,0
1005700987,0
1005707143,3
1005741083,3
1005748633,0
1005919333,2
1006117947,3
979482976,2
980477439,0
981544530,3
982662574,0
984831561,4
986537315,4
986931546,3
988207752,0
988299427,0
988410663,3
988456228,3
988473677,1
988512333,0
988549043,4
988562905,0
988573372,1
988594465,4
988666273,0
988805726,0
988903022,3
988925072,1
988935517,0
988991402,0
989163719,0
989239609,3
989394539,2
989422525,1
989437610,1
989442573,1
989470462,0
989541648,0
989629084,0
989659809,3
989678125,0
989742902,3
989768979,0
989773997,3
989802082,1
989804162,1
989817128,0
989841745,0
989858657,4
989859300,4
989935282,3
989938909,1
989996138,0
990020315,0
990038029,3
990118920,1
990141264,4
990166486,1
990168277,3
990183374,2
990385827,0
990456897,4
990470106,2
990470427,4
990471899,0
990525539,3
990597491,3
990723567,0
990783406,0
990879069,3
990935250,1
990938030,3
990953519,3
991006676,1
991015752,1
991061169,0
991092210,0
991099191,4
991118864,0
991126331,3
991131461,3
991135213,0
991135680,4
991152895,3
991161028,1
991166815,0
991186714,0
991234205,0
991255619,3
991259545,3
991266485,4
991275257,0
991321184,0
991340768,1
991357560,0
991400099,3
991405564,0
991410858,0
991417608,4
991439282,3
991455500,3
991469255,4
991471705,0
991477449,0
991481151,3
991481526,0
991486942,3
991495767,3
991499370,0
991513704,3
991516278,0
991516742,0
991518453,0
991530590,0
991544798,0
991552709,4
991556388,3
991564788,1
991566737,1
991575459,0
991584944,0
991588140,4
991600899,0
991632812,0
991657327,4
991677583,0
991691460,4
991698676,0
991715471,4
991720112,1
991733105,0
991779639,4
991783871,3
991786652,0
991787584,1
991800455,0
991804525,0
991820690,3
991829501,1
991860508,1
991878920,0
991888017,1
991889819,3
991906718,4
991910762,4
991931610,3
991966570,0
992024265,4
992103888,0
992125687,4
992169323,2
992175351,0
992222337,1
992276206,4
992282479,0
992306396,1
992318756,1
992319475,3
992323626,0
992334191,0
992352895,0
992365470,3
992382576,4
992386966,4
992388048,4
992402199,1
992433711,3
992435544,3
992450340,3
992463945,0
992464393,0
992471076,0
992483926,1
992498095,3
992498860,0
992519216,0
992526238,4
992530154,0
992562160,1
992577806,4
992602898,0
992621379,3
992637600,4
992665281,3
992688605,4
992691016,3
992693339,1
992701137,3
992713602,1
992722472,0
992722653,0
992730261,4
992731072,4
992753074,4
992753385,0
992788373,0
992800566,0
992832710,3
992882731,0
992887988,0
992898861,3
992900457,0
992901208,0
992914832,0
992920141,0
992950188,1
992951898,4
993003724,0
993003793,3
993010058,0
993017451,3
993018294,1
993025062,0
993030629,4
993031543,2
993041398,3
993042461,4
993052232,3
993053394,0
993054388,4
993061138,1
993062468,0
993077857,0
993078007,2
993078910,1
993095075,3
993097307,1
993098055,1
993101501,4
993117644,4
993122459,1
993125807,0
993139698,3
993149494,0
993153718,1
993170691,4
993172095,0
993176207,1
993180415,0
993190706,3
993206588,4
993207887,4
993213742,1
993219384,3
993223142,4
993241555,0
993257661,0
993272507,3
993273062,3
993275172,1
993351830,4
993375530,3
993375563,4
993377948,3
993378103,1
993391439,3
993404966,0
993414567,3
993423516,0
993438632,0
993446681,0
993447442,1
993464745,1
993482224,3
993514317,0
993549313,0
993563070,3
993566780,1
993584694,0
993590352,1
993630793,0
993636571,3
993646438,0
993678968,0
993693715,0
993707406,3
993721211,3
993732858,3
993791454,4
