上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1676736532,2,4,False,False,工作后感觉选择有点大于努力，我12年毕业，除了家里有关系的，毕业就去一线城市工作并且买房的资产积累的最多……
1676725692,0,4,False,False,学机械也看不到未来[藏狐]
1676773945,0,3,False,False,1后面填几个0很难，但是让0在1前面还比较简单[害羞]
1676726098,0,4,False,False,其实看的到未来才是最可怕的
1676796952,2,3,False,False,14年高考，长辈都农民，只知道老师医生啥的职业，好在ta们不会干涉我选择什么专业。我遵从了自己的兴趣爱好进了软件工程。当年高考前班主任还在课上统计了几个专业的意向填报人数，土木工程还不少[笑哭]
1676731338,0,4,False,False,up住说的客观理性一点没毛病，不好高骛远，也不贬低自身，而是不卑不亢寻求突破。
1676725742,5,3,False,False,本科哈工程通信专业路过[doge]
1676787969,6,3,False,False,"皮哥我是上海海事的港航，去年毕业，现在在设计院打杂，写写报告画画图之类的，想问一下现在是趁早转行还是先继续干一会。
我现在综合工资大概1w，加班的话差不多1/3～1/4的时间在加班[喜极而泣][喜极而泣]"
1676730829,0,3,False,False,选择和努力一样重要
1676776238,8,3,False,False,985本硕，农村家庭，算是困在天坑专业了
1677126828,0,0,False,False,本科能源与动力工程，我今年考上了国家能源集团我们这的一个火电厂运行岗，五班四倒，下来除了各种福利到手也有十二个了，七月要去上班了。但是我前两天考研机械初试分出来了，感觉应该能上，兄弟们，我该选哪个？😭
1676726244,6,3,False,False,985机械本硕表示迷茫，还有一年半毕业
1676783697,0,2,False,False,这么长，一句话，经济基础决定上层。
1676728078,0,3,False,False,最擅长打灰[呲牙]
1676766156,0,3,False,False,我们学校，材料类里面研究混凝土、胶凝材料的有些课题组，现状是，接的项目跟土木相关，用来攒研究经费；研究生毕业课题有一部分已经开始搞光催化之类的了[笑哭]
1676737705,2,3,False,False,我思考了思考，现在没什么爱好没什么技能，只有本工作的业务能力。除了会扯皮就不会别的了。
1676730117,0,3,False,False,不买房大概率结不了婚，劝不了、劝不动...
1677041669,0,0,False,False,[笑哭]
1676817385,0,1,False,False,学长啊，同工程的😂
1676867552,1,1,False,False,"[大哭]講得真好⋯⋯⋯
小時候就知道該有多好"
1676985029,0,0,False,False,兄弟，工地老灯必点曲目是哪一期
1676805438,2,1,False,False,985土木不如二本计算机[脱单doge]
1676726776,1,2,False,False,我觉得唯二的两次机会就是高考和读博
1676727397,1,4,False,False,"看来你是 
炒股去了？？"
1676777351,0,1,False,False,∞[热词系列_肥肠自信]
1676936869,0,0,False,False,[微笑]攒钱好难
1676899523,0,0,False,False,[辣眼睛]
1676729203,0,1,False,False,我们都是普通人
1676909171,0,0,False,False,校友啊皮哥
1676736510,0,0,False,False,一如既往 是那么回事 一如既往 币你 皮哥
1676725827,1,1,False,False,已经晚了
1676726043,0,1,False,False,现在这一代很难
1676904779,0,0,False,False,皮哥太强了[还有醒着的么2.0_PRPR][还有醒着的么2.0_PRPR][还有醒着的么2.0_PRPR][还有醒着的么2.0_PRPR]
