爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1677202043.2147698,224553368,Creo/proe-ipad曲面造型，建模技巧，结构设计，creo教程，proe教程，creo在线教学，一加一教育，佳言老师,Proe与Creo产品设计,370547437,2,0,0,36,23,0,1,822
1677202178.8871148,352242376,课堂常规｜「自主预习」正确打开方式✅,李啥啥,1286390906,10,1,0,52,174,4,4,2203
1677202189.1056063,352230552,超赞！一等奖！高中英语演讲稿写作课！设计超好！考编面试学起来！,未来英语面试指导,505949610,8,0,0,100,48,2,18,1615
1677202200.3502765,737236270,countif(s)单(多)条件计数-Excel函数入门到实战制作自动化报表模板之(六),Excel办公自动化,387418363,3,0,0,12,19,0,0,297
1677202213.6948476,652168754,“为”字型写材料素材汇编，40例，word文件,职场学习小超人,650750845,4,0,0,27,24,1,1,1043
1677202236.0723813,524671616,Excel前三位数字不满整数退位取整,山竹Excel表格教学,670562659,5,0,0,26,100,12,4,856
1677202251.3542604,224635184,警惕程序员的成长陷阱,魔术师卡颂,453618117,550,141,0,764,1295,214,212,35097
1677202257.5636647,694629446,给大家分享一道人际关系题，备考甘肃省选调生的同学要格外注意此类题目。,公考面试考官说,1485409299,178,25,0,384,547,125,73,44457
1677202282.9992054,567218533,2023年深圳市市属事业单位招聘高校应届毕业生公告,广东公考指南,691682865,16,102,0,188,179,244,201,14717
1677202308.4052916,949736118,发现领导和同事偷情怎么办,易缘老师,691475389,0,0,0,12,52,8,10,1205
1677202309.533797,779629435,OpenGL实例教程2023：04-1着色器概述,阿西拜编程,412587130,6,0,0,15,32,2,0,564
1677202332.9666889,694654146,做电商要会抄？其实你未必抄的起,照顾酱,389838895,17,0,0,59,78,15,6,2290
1677202345.2142906,352174588,废弃核酸小屋“再就业”（下）,鑫鑫与公考,2058280933,9,0,0,27,58,10,3,1373
1677202384.7849584,949705896,我在职业生涯最狂的时候被教训了,许林芳管理思维,1226380111,16,3,0,89,321,7,32,7999
1677202411.207048,394682034,【立体拼合原创方法-数面法】无空间想象能力秒杀一类黑块型立体拼合,公考苏金朋,385154136,1201,211,0,3801,2125,88,565,39474
1677202489.4699662,652244000,工业电气设计管丨继电保护丨变电站丨工业园丨 史老师,电气设计李老师,477343561,0,0,0,2,4,0,1,131
1677202492.6521382,992220265,从没有经验的小白-月入过万的线上汉语老师,Wendy爱自由,217515873,2,0,0,14,23,5,0,763
1677202511.992637,822137995,真正需要提防的，是传话人。,小果姐在哪,613411852,8,2,0,65,113,6,5,1357
1677202539.4630008,567149919,唐主任履新人大，折射出体制内这些潜规则，你很有必要掌握,一不小心哥,574298442,114,5,0,77,616,90,50,25780
1677202552.7939124,652248166,今天更换一个联想Y7000的键盘，看完之后请在评论区打出so easy,华宇万维,109630783,1,0,0,4,38,4,0,757
1677202576.2275324,864712101,做到这十点，就可以迈向人生巅峰,善酒酒399,244308626,12,0,0,29,87,0,2,1632
1677202594.5739348,224735385,一招让他闭嘴！黑心领导再敢抢你功劳就这么说！,马力在知群,543931674,7,0,0,29,100,1,0,1573
1677202595.6840358,992190301,体制人必备！这个神仙网站的学习心得体会也写太好吧！,小弘哥和暮色里,522846737,39,0,0,188,72,4,20,781
1677202599.819095,482158277,职场小白学了也能成为管理大咖,许林芳管理思维,1226380111,0,0,0,20,15,0,4,738
1677202611.0351746,694698350,职场情商低的人乱表现瞎表现，优秀的人能很好地控制表现欲望,马尔西本人,109912227,19,0,0,50,75,7,4,1116
1677202663.7307765,822207296,为啥领导冷落你原因在这,易缘老师,691475389,0,0,0,25,39,3,6,1160
1677202667.8707974,352056572,如何改变自己在单位的软弱个性,老A讲晋升,1029508158,22,2,0,195,207,4,14,4002
1677202713.6019254,437168567,2023陕西省考申论热点：一带一路 —主讲：吴洋,初心公考,110628089,4,0,0,7,14,2,3,879
1677202720.8252313,567218280,Excel表格中，如何制作能打钩的复选框按钮？,Office办公三剑客,2146236937,2,0,0,47,47,2,2,1273
1677202721.9743216,394441363,去有风的地方：每个人的生活，都需要一点呼吸感,崔璀CC,524500054,3,0,0,11,42,1,7,517
1677202725.1473236,479660056,我们不仅仅只是谈业务的外贸业务员,Morry唠唠叨叨,483104896,5,3,0,21,335,15,7,11918
1677202725.2528727,822246970,陕西事业单位联考笔试—和差倍比问题,陕西中公教育,388684610,0,0,0,0,6,0,1,136
1677202726.3616238,737129957,遇到不配合的同事怎么办？,闪闪发光的老高,1663915898,11,2,0,37,116,11,11,2142
1677202729.4932637,524745220,【逸笔文案】真的，建议专家不要再建议了……这篇央视网评真是绝了，必须分享给大家❗️申论结构化面试公务员写材料素材,逸笔文案,392489872,2,1,0,19,29,1,2,1930
1677202737.680646,992130578,公考热点：废弃核酸小屋“再就业”（上）,鑫鑫与公考,2058280933,21,2,0,227,144,22,24,6111
1677202739.807216,864685511,辛莱德也有吃瘪的时候哦，一招合并单元格填序号~,秋叶Excel,480423911,10,0,0,54,161,1,9,2481
1677202785.4835925,567196544,在施工单位真的加班到十点吗？这才是主要原因吧！,造价猫大洋,486242758,9,0,0,18,55,18,8,1380
1677202789.8102217,394647566,医学专业鄙视链的最底端!双一流医科大学，护理学专业，毕业6年后现状,那些无名之辈,295347600,41,33,0,89,1072,202,103,29434
1677202803.132691,821848167,02.20遴选申论 | 彻底解决1.对策太空、不具体2.做题没思路思路的问题！！,公务员遴选申论,1616372839,23,9,0,56,81,14,10,2738
1677202830.5727828,437217604,我，一名95后高中老师，顿悟了…,是宝石老师啊,1339214736,235,108,0,407,1402,55,29,13776
1677202867.1418307,609670908,想让老板觉得你靠谱，做好这几件事,许林芳管理思维,1226380111,3,0,0,37,47,2,2,1357
1677202882.402119,907233161,23年二建机电精讲片段，导管保护导体，3D动画讲解,建造师小超人,1807636182,18,0,0,32,50,12,5,2225
1677202886.5570898,437156409,没有水电煤气账单、办公地与注册地不同，如何完成账号验证？,老陈聊跨境,550248759,4,1,0,45,18,2,11,693
1677202899.8189754,907143233,一到下班就开会，怎么让老板闭嘴？！,产品老曾,1150472191,31,26,0,162,351,35,73,15834
1677202976.9215634,864739693,在单位，如何与这些人好好相处？,公务员干货,491307403,6,3,0,76,289,10,6,20480
1677202980.0689707,394698489,体制内为啥有的领导快退休还在拼命干活,易缘老师,691475389,2,0,0,8,42,2,8,1234
1677202987.2407215,224654221,"如果有人每个月能给你赚200万,你觉得给他多少合适呢?",公考干货君,473654149,6,2,0,11,46,5,3,1140
1677202996.4587054,694735551,不看后悔系列｜关注关得好，职场没烦恼,陈珍珠女士,19736263,44,4,0,554,893,25,10,7419
1677203000.6201322,822128400,有个人英勇救人，严重负伤，单位为其组织了一场募捐活动，在募捐现场来的人很多，但是真正捐款的人不多。请你针对这种境况，做一个现场演讲？,金标尺面试观,1736468798,2,0,0,2,10,0,0,163
1677203029.0698955,864630599,省考87的申论学法，真想申论写的好，需要怎么学，申论慢成视频。,GreenDonkey学习,481425807,64,4,0,328,209,54,26,7070
1677203043.4099176,482204923,申论答疑@龙华老师,龙华老师讲申论,438446895,0,0,0,1,4,2,2,510
1677203059.7804954,652166401,特斯拉重拾毫米波雷达，激光雷达(Lidar)没戏了吗？,大叔的车库书场,97212695,40,44,0,30,203,18,10,4555
1677203085.1856098,609729905,【2月20日直播回放】抽烟喝酒对寿命的影响问题,花生十三-公考行测,526410150,68,71,0,58,313,86,60,11048
1677203087.3019078,609690179,有些男领导是怎么设局套路女下属的,易缘老师,691475389,41,6,0,460,523,37,154,17473
1677203133.9451306,737230094,别瞎努力，没用。,Larry想做技术大佬,19873195,2118,577,0,4305,8714,564,1350,142841
1677203176.4594247,949694390,想电商创业做广州沙河女装，但是不知道如何规划，我来简单告诉你,掌柜电商解说,1944104973,8,0,0,10,24,4,1,796
1677203197.7856584,822213558,多报表链接，用Excel高级技能做数据汇报就是爽！,运营菌Excel,349381768,17,0,0,219,65,6,9,2225
