爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1677244042.3463993,822124070,ChatGPT会抢走哪些工作？我算是玩明白了…,弗洛哈哈flhh,12800254,4385,770,0,8513,8177,817,3414,185188
1677244042.62266,736745739,这道题目你怎么答？作为负责人，怎么说服教师去培训？公务员面试示范答题，一起学起来,导氮公考,262503639,0,0,0,0,0,0,0,37
1677244042.9494092,567047242,你做对了吗？绝不能跟任何人分享的4个秘密！,公务员干货,491307403,10,2,0,88,160,5,9,2268
1677244043.2563298,437115956,这些赤裸裸的真相，刷新了我的认知！,公考干货君,473654149,7,0,0,43,48,2,2,755
1677244043.653691,609551868,新公司在知乎上的口碑很差，我该不该信？,大叔的车库书场,97212695,199,118,0,477,582,93,53,15293
1677244043.9323945,437024997,【2.17直播回放】青少年电子烟问题,花生十三-公考行测,526410150,171,57,0,127,326,72,74,11217
1677244044.3539236,652103593,每日即兴英文演讲Should all education at all level be free?,英文演讲爱好者Scott,508695150,17,0,0,4,44,15,0,1053
1677244044.6221921,567108447,超赞！高中英语优质课一等奖！语音优质课！太牛了！考编面试必学！,未来英语面试指导,505949610,13,0,0,242,173,11,35,3185
1677244044.9248407,479510651,奶茶第二杯半价，你会买吗？,陈政讲财务说职场,1110750332,504,258,0,3723,21151,434,326,257146
1677244045.1957796,482047449,没有后台背景的人如何让别人不敢招惹你,易缘老师,691475389,5,0,0,63,96,5,14,2436
1677244045.5407016,822109199,老板管理者让自己格局变大的唯一方式就是学习,许林芳管理思维,1226380111,0,0,0,13,30,2,6,1008
1677244045.8699749,992010265,ChatGPT，人类文明转折点？,王一快,46394862,1540,914,0,2817,6179,1757,1021,249223
1677244046.1886964,267049388,什么样的老板值得跟随,许林芳管理思维,1226380111,2,0,0,42,45,3,17,1891
1677244046.529592,737088745,如果你听三遍还是不会讲我劝你放弃考教师吧，没有人能让你比这更清晰的喽,面试妙妙界,540051876,4,1,0,47,53,12,0,3435
1677244046.8555436,609581095,没错，我放弃公务员了,鑫鑫与公考,2058280933,109,7,0,260,681,129,25,50619
1677244047.1214843,479594220,职场小白必须尽早知道的10个真相,公考干货君,473654149,6,1,0,36,51,0,2,909
1677244047.4362102,437073574,索马里拼多多电商平台,电商人一灯,1110256210,17,1,0,18,75,28,17,2492
1677244047.8665137,482041275,担当作为类公文材料，适用过渡金句，50句，word文件,职场学习小超人,650750845,6,0,0,43,31,1,3,724
