播放时长,标签个数,硬币数,弹幕数,收藏数,点赞数,评论数,分享数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,存留时长,标签平均每个视频订阅数,up在最热前500条评论的回复率,up在最热前500条评论的点赞率,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,是否原创_2,是否合作_1,有无简介_0,有无广告_1,弹幕模式_1.0,弹幕模式_2.0,弹幕模式_3.0,弹幕模式_4.0,标题样式_！,标题样式_？,24h播放增量
113,9,1945,162,9543,35741,273,784,6.0,178883.0,323.0,-0.0030959752321981,-0.0030959752321981,2.080023148148148,0.2938764720842177,0.0,0.0,0.5129533678756477,12.145077720207254,0,0,0,0,0,0,0,1,0,0,6158.0
163,6,2957,123,4478,22784,544,815,6.0,1013469.0,360.0,-0.0027777777777777,-0.0027777777777777,2.080162037037037,0.2335339146096852,0.0,0.0,0.3592233009708738,18.65776699029126,0,0,0,0,1,0,0,0,0,0,35310.0
125,7,2452,800,4360,40765,865,1007,6.0,113282.0,409.0,-0.0024449877750611,-0.0024449877750611,2.082685185185185,0.2246163596034584,0.0,0.0,0.754,26.768,0,0,0,0,1,0,0,0,0,0,27110.0
844,10,6605,1156,6393,22740,879,1925,6.0,3563514.0,237.0,-0.0042194092827004,-0.0042194092827004,2.082986111111111,2.754528419737664,0.0,0.0,0.94,15.654,0,0,0,0,0,0,1,0,0,1,68273.0
124,2,4521,482,2236,69507,1047,1313,6.0,1943369.0,42.0,-0.0238095238095238,-0.0238095238095238,2.083067129629629,0.0001006861038792,0.0,0.0,0.4849699398797595,19.725450901803608,0,0,1,0,0,1,0,0,0,0,48263.0
147,3,5337,395,4101,44696,1040,1518,2.0,368.0,1.0,-1.0,-1.0,2.0834375,0.4398842398460008,0.0,0.0,0.6933867735470942,23.46492985971944,0,0,1,0,0,0,1,0,0,0,33747.0
135,6,860,203,5795,28612,662,287,2.0,666.0,9.0,-0.1111111111111111,-0.1111111111111111,2.0854166666666667,0.2431875344592791,0.0,0.0,1.6703296703296704,18.31135531135531,0,0,1,0,0,0,0,0,0,0,699423.0
311,9,3802,372,1401,7662,209,797,6.0,58388.0,124.0,-0.0080645161290322,-0.0080645161290322,2.0885416666666665,0.1573097961213326,0.0,0.0,0.2228571428571428,10.44,0,0,0,0,0,0,0,0,0,0,17890.0
752,11,2610,1738,3466,10150,612,1187,6.0,52402.0,43.0,-0.0232558139534883,-0.0232558139534883,2.0929398148148146,0.9179812978646282,0.0,0.0,1.288659793814433,9.652920962199312,0,0,1,0,0,0,1,0,1,0,148893.0
186,5,2741,572,2061,11266,1483,631,6.0,948521.0,168.0,-0.0059523809523809,-0.0059523809523809,2.093958333333333,0.4018847874940473,0.0,0.0,2.341463414634146,25.38211382113821,0,0,1,0,0,0,0,1,1,0,33135.0
